TensorFlow version: 2.2.0
Eager execution: True
Glow Bijector 2 Blocks: K = 16 
 ShiftAndLogScaleResNet 
 n_filters = 64 
 batch size : 256
flow sample shape:  (1, 28, 28, 1)
Total Trainable Variables:  478656
Start Training on 300 epochs
Epoch 000: Loss: -6243.852
Model Saved at ./tf_ckpts/ckpt-65
Epoch 003: Loss: -6607.141
Model Saved at ./tf_ckpts/ckpt-66
Epoch 006: Loss: -5763.009
Epoch 009: Loss: -6525.779
Epoch 012: Loss: -6526.921
Epoch 015: Loss: -6268.785
Epoch 018: Loss: -6497.280
Epoch 021: Loss: -6210.504
Epoch 024: Loss: -6772.366
Model Saved at ./tf_ckpts/ckpt-67
Epoch 027: Loss: -6594.455
Epoch 030: Loss: -5804.788
Epoch 033: Loss: -6206.456
Epoch 036: Loss: -6382.088
Epoch 039: Loss: -6740.073
Epoch 042: Loss: -6675.213
Epoch 045: Loss: -6373.609
Epoch 048: Loss: -6933.263
Model Saved at ./tf_ckpts/ckpt-68
Epoch 051: Loss: -7031.913
Model Saved at ./tf_ckpts/ckpt-69
Epoch 054: Loss: -6365.072
Epoch 057: Loss: -5969.508
Epoch 060: Loss: -5466.661
Epoch 063: Loss: -6468.327
Epoch 066: Loss: -5496.096
Epoch 069: Loss: -6585.522
Epoch 072: Loss: -5942.170
Epoch 075: Loss: -6437.879
Epoch 078: Loss: -6646.321
Epoch 081: Loss: -6216.844
Epoch 084: Loss: -5417.737
Epoch 087: Loss: -5849.160
Epoch 090: Loss: -6639.641
Epoch 093: Loss: -6358.072
Epoch 096: Loss: -6038.501
Epoch 099: Loss: -6144.257
Epoch 102: Loss: -6847.657
Epoch 105: Loss: -7069.564
Model Saved at ./tf_ckpts/ckpt-70
Epoch 108: Loss: -6509.725
Epoch 111: Loss: -6806.375
Epoch 114: Loss: -6907.322
Epoch 117: Loss: -6324.781
Epoch 120: Loss: -6998.969
Epoch 123: Loss: -7161.366
Model Saved at ./tf_ckpts/ckpt-71
Epoch 126: Loss: -6220.464
Epoch 129: Loss: -6807.117
Epoch 132: Loss: -5442.221
Epoch 135: Loss: -6225.351
Epoch 138: Loss: -6142.611
Epoch 141: Loss: -6710.846
Epoch 144: Loss: -3612.894
Epoch 147: Loss: -4623.727
Epoch 150: Loss: -5015.073
Epoch 153: Loss: -5278.204
Epoch 156: Loss: -5386.282
Epoch 159: Loss: -5533.398
Epoch 162: Loss: -5667.507
Epoch 165: Loss: -5773.422
Epoch 168: Loss: -5865.714
Epoch 171: Loss: -5976.882
Epoch 174: Loss: -6050.727
Epoch 177: Loss: -6276.419
Epoch 180: Loss: -6401.506
Epoch 183: Loss: -6378.266
Epoch 186: Loss: -6410.756
Epoch 189: Loss: -6575.966
Epoch 192: Loss: -5981.015
Epoch 195: Loss: -5811.947
Epoch 198: Loss: -6706.576
Epoch 201: Loss: -6171.893
Epoch 204: Loss: -5913.848
Epoch 207: Loss: -5259.733
Epoch 210: Loss: -5763.769
Epoch 213: Loss: -6565.321
Epoch 216: Loss: -6110.063
Epoch 219: Loss: -5432.774
Epoch 222: Loss: -5807.771
Epoch 225: Loss: -5936.875
Epoch 228: Loss: -6088.472
Epoch 231: Loss: -6176.509
Epoch 234: Loss: -6225.699
Epoch 237: Loss: -6215.601
Epoch 240: Loss: -6282.308
Epoch 243: Loss: -6343.464
Epoch 246: Loss: -6389.282
Epoch 249: Loss: -6015.965
Epoch 252: Loss: -6189.671
Epoch 255: Loss: -6371.230
Epoch 258: Loss: -6494.611
Epoch 261: Loss: -6600.970
Epoch 264: Loss: -6881.661
Epoch 267: Loss: -6466.922
Epoch 270: Loss: -6890.595
Epoch 273: Loss: -6903.668
Epoch 276: Loss: -6352.907
Epoch 279: Loss: -6000.654
Epoch 282: Loss: -6851.864
Epoch 285: Loss: -6279.022
Epoch 288: Loss: -4401.559
Epoch 291: Loss: -5756.245
Epoch 294: Loss: -6077.098
Epoch 297: Loss: -6166.717
Model Saved at ./tf_ckpts/ckpt-71
Training time:  10864.63  seconds
loss history saved
9 samples saved
