TensorFlow version: 2.2.0
Eager execution: True
Glow Bijector 2 Blocks: K = 16 
 ShiftAndLogScaleResNet 
 n_filters = 64 
 batch size : 256
flow sample shape:  (1, 28, 28, 1)
Total Trainable Variables:  478656
Start Training on 200 epochs
Epoch 000: Loss: 13356.897
Epoch 002: Loss: -67.990
Model Saved at ./tf_ckpts/ckpt-1
Epoch 004: Loss: -650.287
Model Saved at ./tf_ckpts/ckpt-2
Epoch 006: Loss: -864.343
Model Saved at ./tf_ckpts/ckpt-3
Epoch 008: Loss: -1027.863
Model Saved at ./tf_ckpts/ckpt-4
Epoch 010: Loss: -1181.502
Model Saved at ./tf_ckpts/ckpt-5
Epoch 012: Loss: -1338.039
Model Saved at ./tf_ckpts/ckpt-6
Epoch 014: Loss: -1507.895
Model Saved at ./tf_ckpts/ckpt-7
Epoch 016: Loss: -1676.190
Model Saved at ./tf_ckpts/ckpt-8
Epoch 018: Loss: -1852.829
Model Saved at ./tf_ckpts/ckpt-9
Epoch 020: Loss: -1856.875
Model Saved at ./tf_ckpts/ckpt-10
Epoch 022: Loss: -1944.448
Model Saved at ./tf_ckpts/ckpt-11
Epoch 024: Loss: -2159.018
Model Saved at ./tf_ckpts/ckpt-12
Epoch 026: Loss: -2079.455
Epoch 028: Loss: -2138.892
Epoch 030: Loss: -2485.760
Model Saved at ./tf_ckpts/ckpt-13
Epoch 032: Loss: -2445.977
Epoch 034: Loss: -2127.906
Epoch 036: Loss: -2271.476
Epoch 038: Loss: -2558.006
Model Saved at ./tf_ckpts/ckpt-14
Epoch 040: Loss: -2731.824
Model Saved at ./tf_ckpts/ckpt-15
Epoch 042: Loss: -2673.890
Epoch 044: Loss: -2991.456
Model Saved at ./tf_ckpts/ckpt-16
Epoch 046: Loss: -3142.491
Model Saved at ./tf_ckpts/ckpt-17
Epoch 048: Loss: -2650.118
Epoch 050: Loss: -3289.239
Model Saved at ./tf_ckpts/ckpt-18
Epoch 052: Loss: -3070.726
Epoch 054: Loss: -2839.069
Epoch 056: Loss: -3408.330
Model Saved at ./tf_ckpts/ckpt-19
Epoch 058: Loss: -3736.814
Model Saved at ./tf_ckpts/ckpt-20
Epoch 060: Loss: -3798.818
Model Saved at ./tf_ckpts/ckpt-21
Epoch 062: Loss: -4031.010
Model Saved at ./tf_ckpts/ckpt-22
Epoch 064: Loss: -3792.306
Epoch 066: Loss: -4010.762
Epoch 068: Loss: -4316.037
Model Saved at ./tf_ckpts/ckpt-23
Epoch 070: Loss: -4395.372
Model Saved at ./tf_ckpts/ckpt-24
Epoch 072: Loss: -4534.897
Model Saved at ./tf_ckpts/ckpt-25
Epoch 074: Loss: -4625.778
Model Saved at ./tf_ckpts/ckpt-26
Epoch 076: Loss: -4765.062
Model Saved at ./tf_ckpts/ckpt-27
Epoch 078: Loss: -4894.765
Model Saved at ./tf_ckpts/ckpt-28
Epoch 080: Loss: -5048.065
Model Saved at ./tf_ckpts/ckpt-29
Epoch 082: Loss: -5062.382
Model Saved at ./tf_ckpts/ckpt-30
Epoch 084: Loss: -5113.855
