TensorFlow version: 2.2.0
Eager execution: True
Glow Bijector 2 Blocks: K = 16 
 ShiftAndLogScaleResNet 
 n_filters = 64 
 batch size : 256
flow sample shape:  (1, 28, 28, 1)
Total Trainable Variables:  478656
Start Training on 200 epochs
Epoch 000: Loss: -6315.683
Model Saved at ./tf_ckpts/ckpt-48
Epoch 002: Loss: -6461.859
Model Saved at ./tf_ckpts/ckpt-49
Epoch 004: Loss: -6459.911
Epoch 006: Loss: -6543.114
Model Saved at ./tf_ckpts/ckpt-50
Epoch 008: Loss: -6664.879
Model Saved at ./tf_ckpts/ckpt-51
Epoch 010: Loss: -6566.484
Epoch 012: Loss: -6378.633
Epoch 014: Loss: -6552.044
Epoch 016: Loss: -6516.981
Epoch 018: Loss: -5445.494
Epoch 020: Loss: -6250.701
Epoch 022: Loss: -6651.136
Epoch 024: Loss: -6633.687
Epoch 026: Loss: -6717.550
Model Saved at ./tf_ckpts/ckpt-52
Epoch 028: Loss: -6683.856
Epoch 030: Loss: -6241.884
Epoch 032: Loss: -6654.844
Epoch 034: Loss: -5896.191
Epoch 036: Loss: -6181.305
Epoch 038: Loss: -6180.593
Epoch 040: Loss: -5190.541
Epoch 042: Loss: -6489.764
Epoch 044: Loss: -6503.047
Epoch 046: Loss: -6728.677
Model Saved at ./tf_ckpts/ckpt-53
Epoch 048: Loss: -6768.002
Model Saved at ./tf_ckpts/ckpt-54
Epoch 050: Loss: -6417.990
Epoch 052: Loss: -6733.173
Epoch 054: Loss: -6730.630
Epoch 056: Loss: -6610.608
Epoch 058: Loss: -6821.671
Model Saved at ./tf_ckpts/ckpt-55
Epoch 060: Loss: -6739.520
Epoch 062: Loss: -5157.986
Epoch 064: Loss: -6163.184
Epoch 066: Loss: -6448.265
Epoch 068: Loss: -6266.898
Epoch 070: Loss: -6818.616
Epoch 072: Loss: -6834.972
Model Saved at ./tf_ckpts/ckpt-56
Epoch 074: Loss: -7058.464
Model Saved at ./tf_ckpts/ckpt-57
Epoch 076: Loss: -7008.730
Epoch 078: Loss: -6745.468
Epoch 080: Loss: -6835.368
Epoch 082: Loss: -6972.047
Epoch 084: Loss: -7078.286
Model Saved at ./tf_ckpts/ckpt-58
Epoch 086: Loss: -7089.512
Model Saved at ./tf_ckpts/ckpt-59
Epoch 088: Loss: -5343.769
Epoch 090: Loss: -5795.821
Epoch 092: Loss: -6449.085
Epoch 094: Loss: -5161.587
Epoch 096: Loss: -5874.520
Epoch 098: Loss: -6041.797
Epoch 100: Loss: -6451.285
Epoch 102: Loss: -6899.091
Epoch 104: Loss: -7033.388
Epoch 106: Loss: -7103.447
Model Saved at ./tf_ckpts/ckpt-60
Epoch 108: Loss: -7190.017
Model Saved at ./tf_ckpts/ckpt-61
Epoch 110: Loss: -7122.038
Epoch 112: Loss: -7086.052
Epoch 114: Loss: -7157.028
Epoch 116: Loss: -6736.255
Epoch 118: Loss: -6229.568
Epoch 120: Loss: -6206.676
Epoch 122: Loss: -6497.790
Epoch 124: Loss: -6659.275
Epoch 126: Loss: -6894.614
Epoch 128: Loss: -6818.967
Epoch 130: Loss: -6271.468
Epoch 132: Loss: -6470.706
Epoch 134: Loss: -6832.987
Epoch 136: Loss: -6609.892
Epoch 138: Loss: -6557.350
Epoch 140: Loss: -7090.364
Epoch 142: Loss: -7275.712
Model Saved at ./tf_ckpts/ckpt-62
Epoch 144: Loss: -7126.645
Epoch 146: Loss: -7267.580
Epoch 148: Loss: -5662.111
Epoch 150: Loss: -5399.423
Epoch 152: Loss: -5917.284
Epoch 154: Loss: -5867.204
Epoch 156: Loss: -6337.425
Epoch 158: Loss: -6734.164
Epoch 160: Loss: -6844.499
Epoch 162: Loss: -6896.970
Epoch 164: Loss: -6272.711
Epoch 166: Loss: -6718.576
Epoch 168: Loss: -6881.527
Epoch 170: Loss: -7103.097
Epoch 172: Loss: -7167.155
Epoch 174: Loss: -6753.978
Epoch 176: Loss: -6898.692
Epoch 178: Loss: -7048.161
Epoch 180: Loss: -6475.861
Epoch 182: Loss: -7054.174
Epoch 184: Loss: -6881.780
Epoch 186: Loss: -7188.561
Epoch 188: Loss: -7315.227
Model Saved at ./tf_ckpts/ckpt-63
Epoch 190: Loss: -7171.587
Epoch 192: Loss: -4937.051
Epoch 194: Loss: -6120.843
Epoch 196: Loss: -6425.140
Epoch 198: Loss: -6608.739
Model Saved at ./tf_ckpts/ckpt-63
Training time:  7292.61  seconds
loss history saved
9 samples saved
